# field	rate	distinct_non_zero	resolved_hashQuick	resolved_hashQuickLowerCase	occurrences	verdict
# verdict: hash >= 0.90, partial 0.10-0.90, not-a-hash < 0.10
MeshAsset.NameHash	1.0000	9794	9794	9794	9794	hash
SoundDataAsset.NameHash	1.0000	6517	6517	1	6517	hash
UnlockAssetBase.Identifier	1.0000	3436	3436	0	3436	hash
ObjectVariation.NameHash	1.0000	2326	2326	2326	2326	hash
BasicUnlockInfo.Identifier	1.0000	1897	1897	0	1909	hash
InstanceOutputNode.Id	1.0000	321	321	0	543	hash
ModelAnimationEntityData.JointOutputPropertyIds[]	1.0000	318	318	36	1102	hash
WeaponStateData.ReferencedAssetHashes[]	1.0000	210	210	210	212	hash
WeaponSocketObjectData.ReferencedAssetHashes[]	1.0000	198	198	198	3759	hash
ActionNode.ActionKey	1.0000	178	178	0	566	hash
StatsCategoryWeaponData.SoldierWeaponId	1.0000	95	95	0	130	hash
OutputNodeData.OutputNameHash	1.0000	47	47	2	2347	hash
AudioLanguageSetting.NameHash	1.0000	8	8	0	8	hash
StreamPoolAsset.StreamPoolId	1.0000	3	3	0	3	hash
FaceAnimationWaveMapping.WaveNameHash	0.9993	1512	1511	0	1632	hash
WeaponComponentData.WeaponItemHash	0.9950	201	200	8	439	hash
MeshVariationDatabaseEntry.VariationAssetNameHash	0.9873	2353	2323	2323	241612	hash
StaticModelGroupMemberData.InstanceObjectVariation[]	0.9696	986	956	956	46180	hash
UIItemDescription.ItemIds[]	0.9515	1937	1843	62	2012	hash
SoldierWeaponUnlockAsset.WeaponIdentifier	0.5722	180	103	0	190	partial
StatsCategoryVehicleData.FirstVehicleId	0.3061	49	15	0	71	partial
AudioGraphParameter.NameHash	0.2351	285	67	0	6821	partial
SoundPatchConfigurationAssetEntry.NameHash	0.2000	5	1	0	794	partial
PropertyConnection.TargetFieldId	0.1754	1505	264	2	30056	partial
VehicleHudData.VehicleItemHash	0.1524	105	16	0	105	partial
WaypointData.SchematicsNameHash	0.1111	234	26	5	13421	partial
PropertyConnection.SourceFieldId	0.0863	5132	443	30	30056	not-a-hash
LinkConnection.SourceFieldId	0.0748	1029	77	6	43899	not-a-hash
SoundPatchConfigurationParameterEntry.NameHash	0.0714	28	2	0	947	not-a-hash
PropertyTrackData.Id	0.0697	703	49	9	9100	not-a-hash
EventSpec.Id	0.0637	8028	511	51	188928	not-a-hash
LinkConnection.TargetFieldId	0.0559	1073	60	8	43899	not-a-hash
DynamicLink.Id	0.0495	969	48	6	2628	not-a-hash
DataField.Id	0.0352	4748	167	4	7936	not-a-hash
DynamicEvent.Id	0.0288	6032	174	6	11598	not-a-hash
AntRef.AssetId	0.0021	483	1	0	3736	not-a-hash
SoundDataChunk.ChunkSize	0.0002	8314	2	1	42924	not-a-hash
SoundWaveVariationSegment.SamplesOffset	0.0001	35903	2	5	93650	not-a-hash
MaterialContainerPair.FlagsAndIndex	0.0001	32399	4	1	32400	not-a-hash
IndexRange.Last	0.0001	7169	1	0	48744	not-a-hash
IndexRange.First	0.0001	7125	1	0	48744	not-a-hash
SequenceEventData.Time	0.0000	2433	0	0	6289	not-a-hash
FaceAnimationWaveMapping.AntEnumValue	0.0000	1511	0	0	1632	not-a-hash
UIDataSourceInfo.DataKey	0.0000	1073	0	0	7119	not-a-hash
PropertyTrackData.Times[]	0.0000	735	0	0	3301	not-a-hash
StaticModelGroupMemberData.HealthStateEntityManagerId	0.0000	498	0	0	17210	not-a-hash
TransformPartPropertyTrackData.KeyStartIndex	0.0000	397	0	0	8766	not-a-hash
StaticModelGroupMemberData.InstanceCount	0.0000	256	0	0	17210	not-a-hash
StaticModelGroupEntityData.NetworkIdCount	0.0000	200	0	0	334	not-a-hash
SequenceEntityData.SequenceLength	0.0000	187	0	0	1864	not-a-hash
SkeletonAsset.Hierarchy[]	0.0000	174	0	0	3865	not-a-hash
SoundGraphInfo.PluginsParamCount	0.0000	173	0	0	1398	not-a-hash
RankLevelData.PointsNeeded	0.0000	145	0	0	146	not-a-hash
RankLevelData.RankNumber	0.0000	145	0	0	146	not-a-hash
HealthStateData.PartIndex	0.0000	138	0	0	25981	not-a-hash
PhysicsPartInfo.PartComponentIndex	0.0000	138	0	0	15654	not-a-hash
SoundGraphInfo.PluginCount	0.0000	125	0	0	1398	not-a-hash
MaterialGridData.MaterialIndexMap[]	0.0000	124	0	0	8820	not-a-hash
TransformPartPropertyTrackData.KeyCount	0.0000	119	0	0	8766	not-a-hash
PathfindingBlob.ChunkSizes[]	0.0000	113	0	0	203	not-a-hash
AntEventData.TagId	0.0000	105	0	0	220	not-a-hash
EmitterTemplateData.MaxCount	0.0000	91	0	0	4222	not-a-hash
ScoringBucketUnlockData.PointsNeeded	0.0000	90	0	0	195	not-a-hash
AntPackageAsset.ChunkSize	0.0000	87	0	0	684	not-a-hash
PartLinkData.PartComponentIndex2	0.0000	85	0	0	1734	not-a-hash
DataCopValueSetting.DataKey	0.0000	76	0	0	3800	not-a-hash
EdgeModelComponentData.MaxInstanceCount	0.0000	75	0	0	118	not-a-hash
DestructionVolumeData.PartToImpactIndices[]	0.0000	74	0	0	2259	not-a-hash
AntEnumeration.Value	0.0000	65	0	0	233	not-a-hash
VisualEnvironmentReferenceObjectData.Priority	0.0000	64	0	0	150	not-a-hash
AntAnimationSetAsset.LoopingClipAssetIndices[]	0.0000	58	0	0	329	not-a-hash
SoundWaveVariationSegment.SeekTableOffset	0.0000	54	0	0	93650	not-a-hash
DestructionPartComponentData.PartIndex	0.0000	52	0	0	2561	not-a-hash
LevelData.MaxEntityBusNetworkCount	0.0000	49	0	0	49	not-a-hash
DebrisClusterPartInfoData.PartIndex	0.0000	48	0	0	4829	not-a-hash
MultipleActorScenarioEntityData.ScenarioChoice	0.0000	48	0	0	639	not-a-hash
VisualVectorShapeData.DrawOrderIndex	0.0000	43	0	0	8079	not-a-hash
StaticModelNetworkInfo.NetworkIdCount	0.0000	41	0	0	6570	not-a-hash
MemoryLevelDescriptionComponent.TexturePoolSizePs3	0.0000	39	0	0	96	not-a-hash
StaticModelGroupMemberData.PhysicsPartCountPerInstance	0.0000	39	0	0	17210	not-a-hash
BreakableControllerComponentData.BreakablePartCount	0.0000	38	0	0	209	not-a-hash
BreakableControllerComponentData.NetworkIdCount	0.0000	38	0	0	209	not-a-hash
ScenarioTaskData.ScenarioId	0.0000	38	0	0	689	not-a-hash
StaticModelEntityData.BoneCount	0.0000	37	0	0	6570	not-a-hash
StaticModelGroupMemberData.NetworkIdCountPerInstance	0.0000	37	0	0	17210	not-a-hash
VegetationBaseEntityData.Hierarchy[]	0.0000	37	0	0	609	not-a-hash
AmmoConfigData.MagazineCapacity	0.0000	34	0	0	281	not-a-hash
MemoryLevelDescriptionComponent.TexturePoolSizeXenon	0.0000	32	0	0	96	not-a-hash
AntAnimationSetAsset.ClipAssetIndices[]	0.0000	31	0	0	329	not-a-hash
BigWorldSetting.MaxDistance	0.0000	30	0	0	429	not-a-hash
ModelAnimationEntityData.AnimationIndex	0.0000	30	0	0	396	not-a-hash
SkinnedSocketObjectData.FaceposerLibraryIndex	0.0000	30	0	0	347	not-a-hash
SoundWaveVariation.SeekTablesSize	0.0000	30	0	0	94127	not-a-hash
PartLinkData.PartComponentIndex1	0.0000	29	0	0	1734	not-a-hash
DebrisClusterData.CompositePartCount	0.0000	27	0	0	727	not-a-hash
SoundGraphPluginInfo.Id	0.0000	27	0	0	51479	not-a-hash
SubSkeleton.BoneMap[]	0.0000	26	0	0	50	not-a-hash
DebrisClusterPartInfoData.NumberOfChildren	0.0000	25	0	0	4829	not-a-hash
MemoryLevelDescriptionComponent.MeshPoolSizePs3	0.0000	25	0	0	96	not-a-hash
WeaponMagazineModifier.MagazineCapacity	0.0000	25	0	0	86	not-a-hash
MemoryLevelDescriptionComponent.MeshPoolSizePs3Cell	0.0000	23	0	0	96	not-a-hash
MultipleTriggerEntityData.TriggerAmount	0.0000	23	0	0	252	not-a-hash
BigWorldSetting.MinDistance	0.0000	22	0	0	429	not-a-hash
LightProbeVolumeData.Zres	0.0000	22	0	0	2140	not-a-hash
SoldierTestEntityData.RandomSeed	0.0000	22	0	0	23	not-a-hash
LightProbeVolumeData.Priority	0.0000	21	0	0	2140	not-a-hash
WeaponUnlockPickupData.MaxAmmo	0.0000	21	0	0	122	not-a-hash
WeaponUnlockPickupData.MinAmmo	0.0000	20	0	0	122	not-a-hash
LightProbeVolumeData.Xres	0.0000	19	0	0	2140	not-a-hash
MultipleActorScenarioEntityData.LevelChoice	0.0000	19	0	0	639	not-a-hash
RotorModelData.PartIndex	0.0000	19	0	0	84	not-a-hash
VisualEnvironmentEntityData.Priority	0.0000	19	0	0	206	not-a-hash
MovieTextureAsset.ChunkSize	0.0000	18	0	0	19	not-a-hash
VegetationTreeEntityData.StemBoneCount	0.0000	18	0	0	31	not-a-hash
MultipleActorScenarioEntityData.Actor1	0.0000	17	0	0	639	not-a-hash
PathfindingBlob.BlobSize	0.0000	17	0	0	49	not-a-hash
BurstLimit.Max	0.0000	15	0	0	664	not-a-hash
CharacterInVehicleScenarioEntityData.ScenarioId	0.0000	15	0	0	24	not-a-hash
IntEntityData.DefaultValue	0.0000	15	0	0	109	not-a-hash
MemoryLevelDescriptionComponent.MeshPoolSizeXenon	0.0000	15	0	0	96	not-a-hash
UnlockComponentData.UnlockDataKey	0.0000	15	0	0	841	not-a-hash
EventAndGateEntityData.EventCount	0.0000	14	0	0	1456	not-a-hash
MultipleActorScenarioEntityData.Actor2	0.0000	14	0	0	639	not-a-hash
UIGameModeDescription.BattlelogId	0.0000	14	0	0	17	not-a-hash
EventSwitchEntityData.OutEvents	0.0000	13	0	0	110	not-a-hash
MovieTextureAsset.SubtitleChunkSize	0.0000	13	0	0	19	not-a-hash
VoiceOverDialogClipEvents.FinishedNameHash	0.0000	13	0	0	13	not-a-hash
WidgetNode.FocusIndex	0.0000	13	0	0	1419	not-a-hash
AmmoConfigData.NumberOfMagazines	0.0000	12	0	0	281	not-a-hash
BurstLimit.Min	0.0000	12	0	0	664	not-a-hash
EffectEntityData.MaxInstanceCount	0.0000	12	0	0	9322	not-a-hash
EnlightenEntityData.Priority	0.0000	12	0	0	144	not-a-hash
LightProbeVolumeData.Yres	0.0000	12	0	0	2140	not-a-hash
UILevelDescriptionComponent.SortIndex	0.0000	12	0	0	98	not-a-hash
ChildStaticModelNetworkInfo.ParentPartComponentIndex	0.0000	11	0	0	105	not-a-hash
CountDownEntityData.StartValue	0.0000	11	0	0	62	not-a-hash
DataCopValueSetting.FrameSpacing	0.0000	11	0	0	3800	not-a-hash
MultipleActorScenarioEntityData.Actor1Part	0.0000	11	0	0	639	not-a-hash
ScenarioTaskData.LevelId	0.0000	11	0	0	689	not-a-hash
UITextDatabase.BinaryChunkSize	0.0000	11	0	0	11	not-a-hash
VoiceOverConstantIntegerValue.Value	0.0000	11	0	0	115	not-a-hash
BoneFakePhysicsData.BoneId	0.0000	10	0	0	140	not-a-hash
BreakablePartComponentData.HealthPercentage	0.0000	10	0	0	2561	not-a-hash
MultipleActorScenarioEntityData.Actor2Part	0.0000	10	0	0	639	not-a-hash
UIntRange.Max	0.0000	10	0	0	288	not-a-hash
MemoryLevelDescriptionComponent.TexturePoolSize	0.0000	9	0	0	96	not-a-hash
MultipleActorScenarioEntityData.Actor1SecondPart	0.0000	9	0	0	639	not-a-hash
MultipleActorScenarioEntityData.Actor3	0.0000	9	0	0	639	not-a-hash
ScenarioTaskData.ActorId	0.0000	9	0	0	689	not-a-hash
ShotConfigData.NumberOfBulletsPerShell	0.0000	9	0	0	281	not-a-hash
WeaponFiringData.AltDeployId	0.0000	9	0	0	333	not-a-hash
AnimatedSkeletonDatabaseItem.Names[]	0.0000	8	0	0	223	not-a-hash
DebrisClusterData.MaxActivePartsCount	0.0000	8	0	0	727	not-a-hash
MultipleActorScenarioEntityData.Actor4	0.0000	8	0	0	639	not-a-hash
UIComponentData.UpdatesPerSecond	0.0000	8	0	0	84	not-a-hash
UIListDataBinding.ListIndex	0.0000	8	0	0	173	not-a-hash
UIntRange.Min	0.0000	8	0	0	288	not-a-hash
WeaponMagazineModifier.NumberOfMagazines	0.0000	8	0	0	86	not-a-hash
BehaviourTemplateData.SuppressingBurstCount	0.0000	7	0	0	24	not-a-hash
EntryComponentData.EntryOrderNumber	0.0000	7	0	0	317	not-a-hash
MultipleActorScenarioEntityData.Actor2SecondPart	0.0000	7	0	0	639	not-a-hash
MultipleActorScenarioEntityData.Actor3Part	0.0000	7	0	0	639	not-a-hash
MultipleActorScenarioEntityData.Actor5	0.0000	7	0	0	639	not-a-hash
RandomEventEntityData.Probability	0.0000	7	0	0	175	not-a-hash
ScenarioTaskData.PartId	0.0000	7	0	0	689	not-a-hash
StatSpamSetting.AmountLimit	0.0000	7	0	0	33	not-a-hash
AnimationEnumerationChoiceEntityData.Value	0.0000	6	0	0	11	not-a-hash
CompareIntEntityData.B	0.0000	6	0	0	162	not-a-hash
DataCopValueSetting.Offset	0.0000	6	0	0	3800	not-a-hash
FloatHubEntityData.InputCount	0.0000	6	0	0	61	not-a-hash
MatchmakingSizeConfiguration.DesiredPlayerCount	0.0000	6	0	0	6	not-a-hash
MatchmakingSizeConfiguration.MaxPlayerCapacity	0.0000	6	0	0	6	not-a-hash
MultipleActorScenarioEntityData.Actor4Part	0.0000	6	0	0	639	not-a-hash
ProfileOptionDataInt.Max	0.0000	6	0	0	8	not-a-hash
SpawnReferenceObjectData.MaxCount	0.0000	6	0	0	3415	not-a-hash
CharacterStateTriggerEntityData.HealthToSet	0.0000	5	0	0	184	not-a-hash
CompareIntEntityData.A	0.0000	5	0	0	162	not-a-hash
CriteriaAward.Count	0.0000	5	0	0	191	not-a-hash
EntryComponentData.NumberOfStances	0.0000	5	0	0	317	not-a-hash
GameModeSize.PlayerCount	0.0000	5	0	0	2200	not-a-hash
GameModeTeamSize.PlayerCount	0.0000	5	0	0	6900	not-a-hash
MessageInfo.MessageQueueSize	0.0000	5	0	0	16	not-a-hash
MultipleActorScenarioEntityData.Actor5Part	0.0000	5	0	0	639	not-a-hash
MultipleActorScenarioEntityData.Actor6	0.0000	5	0	0	639	not-a-hash
PhysicsPartInfo.HealthStateIndex	0.0000	5	0	0	15654	not-a-hash
SoundGraphPluginInfo.EnableAttributeReadMask	0.0000	5	0	0	51479	not-a-hash
TerrainQuadDecalAtlasTile.TileCountY	0.0000	5	0	0	1168	not-a-hash
VehicleEntityData.MaxPlayersInVehicle	0.0000	5	0	0	105	not-a-hash
VehicleStateTriggerEntityData.HealthToCheck	0.0000	5	0	0	72	not-a-hash
AmmoConfigData.AmmoBagPickupAmount	0.0000	4	0	0	281	not-a-hash
BoolHubEntityData.InputCount	0.0000	4	0	0	25	not-a-hash
BotPriorityConfigData.Period	0.0000	4	0	0	4	not-a-hash
CapturePointEntityData.TimeToGetControl	0.0000	4	0	0	17	not-a-hash
CapturePointEntityData.TimeToLoseControl	0.0000	4	0	0	17	not-a-hash
CharacterInVehicleScenarioEntityData.LevelId	0.0000	4	0	0	24	not-a-hash
CharacterSpawnReferenceObjectData.VehicleEntryIndex	0.0000	4	0	0	2306	not-a-hash
CharacterStateTriggerEntityData.AmmoToSet	0.0000	4	0	0	184	not-a-hash
ClosestInstancesScopeStrategyData.Count	0.0000	4	0	0	7	not-a-hash
IntHubEntityData.InputCount	0.0000	4	0	0	16	not-a-hash
KillCounterEntityData.MaxKillCount	0.0000	4	0	0	22	not-a-hash
MultipleActorScenarioEntityData.Actor3SecondPart	0.0000	4	0	0	639	not-a-hash
Ps3AgeLevels.AgeLevel8	0.0000	4	0	0	10	not-a-hash
Ps3AgeLevels.AgeLevel9	0.0000	4	0	0	10	not-a-hash
ShotConfigData.NumberOfBulletsPerBurst	0.0000	4	0	0	281	not-a-hash
SpawnAnimationFrameData.AnimationFrame	0.0000	4	0	0	2431	not-a-hash
SpawnReferenceObjectData.TotalCountSimultaneouslyOfType	0.0000	4	0	0	3415	not-a-hash
StanceCameraData.DefaultCameraForStances[]	0.0000	4	0	0	180	not-a-hash
StanceCameraData.ValidStances[]	0.0000	4	0	0	246	not-a-hash
StanceFilterComponentData.ValidStances[]	0.0000	4	0	0	182	not-a-hash
TerrainQuadDecalAtlasTile.TileIndexY	0.0000	4	0	0	1168	not-a-hash
UIMapmarkerCompData.ProximityIntervals[]	0.0000	4	0	0	5	not-a-hash
UINodeConnection.NumScreensToPop	0.0000	4	0	0	4529	not-a-hash
VehicleStateTriggerEntityData.HealthToSet	0.0000	4	0	0	72	not-a-hash
VoiceOverConversationNode.Priority	0.0000	4	0	0	4136	not-a-hash
BehaviourTemplateData.MaxAttackBursts	0.0000	3	0	0	24	not-a-hash
CameraEntityBaseData.Priority	0.0000	3	0	0	253	not-a-hash
CharacterStateTriggerEntityData.ActiveWeaponSlot	0.0000	3	0	0	184	not-a-hash
CharacterStateTriggerEntityData.SeatIndex	0.0000	3	0	0	184	not-a-hash
ChildStaticModelNetworkInfo.ParentHealthStateIndex	0.0000	3	0	0	105	not-a-hash
CompareEntityData.IntIn1	0.0000	3	0	0	53	not-a-hash
DefaultSelectionItem.DefaultSelectionIndex	0.0000	3	0	0	302	not-a-hash
EmitterTemplateData.LifetimeFrameCount	0.0000	3	0	0	4222	not-a-hash
EntryInputActionMapsData.ActionMapSettingsScheme	0.0000	3	0	0	11	not-a-hash
MatchmakingSession.DurationMs	0.0000	3	0	0	3	not-a-hash
MaxInstancesScopeStrategyData.Count	0.0000	3	0	0	4	not-a-hash
MultipleActorScenarioEntityData.Actor4SecondPart	0.0000	3	0	0	639	not-a-hash
MultipleActorScenarioEntityData.Actor6Part	0.0000	3	0	0	639	not-a-hash
ProfileOptionDataInt.Min	0.0000	3	0	0	8	not-a-hash
ProfileOptionDataInt.Value	0.0000	3	0	0	8	not-a-hash
ProjectileEntityData.MaxCount	0.0000	3	0	0	209	not-a-hash
Ps3AgeLevels.AgeLevel7	0.0000	3	0	0	10	not-a-hash
StreamPoolAsset.StreamBufferSizePs3	0.0000	3	0	0	3	not-a-hash
StreamPoolAsset.StreamBufferSizeXenon	0.0000	3	0	0	3	not-a-hash
StreamPoolAsset.StreamCountPs3	0.0000	3	0	0	3	not-a-hash
StreamPoolAsset.StreamCountWin32	0.0000	3	0	0	3	not-a-hash
StreamPoolAsset.StreamCountXenon	0.0000	3	0	0	3	not-a-hash
UIListDataBinding.RowSpacing	0.0000	3	0	0	173	not-a-hash
UINestedListDataBinding.ListIndex	0.0000	3	0	0	24	not-a-hash
UnlockAssetBase.UnlockScore	0.0000	3	0	0	3436	not-a-hash
VehicleEntryListenerComponentData.AnimationEntitySpacePriority	0.0000	3	0	0	6	not-a-hash
VehicleExitPointComponentData.Ordinal	0.0000	3	0	0	406	not-a-hash
WeaponUnlockPickupData.AltWeaponSlot	0.0000	3	0	0	122	not-a-hash
AmmoConfigData.TraceFrequency	0.0000	2	0	0	281	not-a-hash
AntAnimationSetAsset.ActorAssetIndex	0.0000	2	0	0	163	not-a-hash
AntAnimationSetAsset.SceneOpMatrixAssetIndex	0.0000	2	0	0	163	not-a-hash
ArmamentData.ThreatLength	0.0000	2	0	0	10	not-a-hash
AwardData.MaxRepetitions	0.0000	2	0	0	483	not-a-hash
BangerEntityData.DestructiblePartCount	0.0000	2	0	0	152	not-a-hash
BasicUnlockInfo.UnlockScore	0.0000	2	0	0	1909	not-a-hash
